,recovery,temperature,code1,code2,share1,share2
1,10,60.4823167023518,AHS,AWB,0.22,0.78
2,20,178.43144041810748,AHS,AWB,0.22,0.78
3,30,324.1482983981873,AHS,AWB,0.22,0.78
4,40,405.3353707701049,AHS,AWB,0.22,0.78
5,50,472.5253696656277,AHS,AWB,0.22,0.78
6,60,540.2485480167129,AHS,AWB,0.22,0.78
7,70,615.2462028032376,AHS,AWB,0.22,0.78
8,80,,AHS,AWB,0.22,0.78
9,90,,AHS,AWB,0.22,0.78
10,95,,AHS,AWB,0.22,0.78
11,99,,AHS,AWB,0.22,0.78
0,5,38.243122517169766,AHS,AWB,0.23,0.77
1,10,60.6973929397539,AHS,AWB,0.23,0.77
2,20,178.45110798840628,AHS,AWB,0.23,0.77
3,30,324.49829067192536,AHS,AWB,0.23,0.77
4,40,405.83272202268404,AHS,AWB,0.23,0.77
5,50,472.91212912913215,AHS,AWB,0.23,0.77
6,60,540.212220950644,AHS,AWB,0.23,0.77
7,70,614.662868902955,AHS,AWB,0.23,0.77
8,80,,AHS,AWB,0.23,0.77
9,90,,AHS,AWB,0.23,0.77
10,95,,AHS,AWB,0.23,0.77
11,99,,AHS,AWB,0.23,0.77
0,5,38.30142593972466,AHS,AWB,0.24,0.76
1,10,60.91419385424264,AHS,AWB,0.24,0.76
2,20,178.4707831393869,AHS,AWB,0.24,0.76
3,30,324.85044127578897,AHS,AWB,0.24,0.76
4,40,406.3301083278153,AHS,AWB,0.24,0.76
5,50,473.2950490635716,AHS,AWB,0.24,0.76
6,60,540.1763949885652,AHS,AWB,0.24,0.76
7,70,614.0875076975663,AHS,AWB,0.24,0.76
8,80,,AHS,AWB,0.24,0.76
9,90,,AHS,AWB,0.24,0.76
10,95,,AHS,AWB,0.24,0.76
11,99,,AHS,AWB,0.24,0.76
0,5,38.35967527133564,AHS,AWB,0.25,0.75
1,10,61.132764512643355,AHS,AWB,0.25,0.75
2,20,178.49046616054468,AHS,AWB,0.25,0.75
3,30,325.2048126395367,AHS,AWB,0.25,0.75
4,40,406.8275100700597,AHS,AWB,0.25,0.75
5,50,473.6741539381104,AHS,AWB,0.25,0.75
6,60,540.1410597331237,AHS,AWB,0.25,0.75
7,70,613.5199702702472,AHS,AWB,0.25,0.75
8,80,,AHS,AWB,0.25,0.75
9,90,,AHS,AWB,0.25,0.75
10,95,,AHS,AWB,0.25,0.75
11,99,,AHS,AWB,0.25,0.75
0,5,38.4178715826488,AHS,AWB,0.26,0.74
1,10,61.35318963658145,AHS,AWB,0.26,0.74
2,20,178.51015733451757,AHS,AWB,0.26,0.74
3,30,325.561429747795,AHS,AWB,0.26,0.74
4,40,407.32494154402673,AHS,AWB,0.26,0.74
5,50,474.0494898579052,AHS,AWB,0.26,0.74
6,60,540.1062050735759,AHS,AWB,0.26,0.74
7,70,612.9601161850317,AHS,AWB,0.26,0.74
8,80,,AHS,AWB,0.26,0.74
9,90,,AHS,AWB,0.26,0.74
10,95,,AHS,AWB,0.26,0.74
11,99,,AHS,AWB,0.26,0.74
0,5,38.4760167028549,AHS,AWB,0.27,0.73
1,10,61.575509258799784,AHS,AWB,0.27,0.73
2,20,178.529856937072,AHS,AWB,0.27,0.73
3,30,325.9203603533932,AHS,AWB,0.27,0.73
4,40,407.82238236412616,AHS,AWB,0.27,0.73
5,50,474.4210852210905,AHS,AWB,0.27,0.73
6,60,540.0718211760039,AHS,AWB,0.27,0.73
7,70,612.4078051926541,AHS,AWB,0.27,0.73
8,80,,AHS,AWB,0.27,0.73
9,90,,AHS,AWB,0.27,0.73
10,95,,AHS,AWB,0.27,0.73
11,99,,AHS,AWB,0.27,0.73
0,5,38.53411317745678,AHS,AWB,0.28,0.72
1,10,61.79975593962988,AHS,AWB,0.28,0.72
2,20,178.54956523708924,AHS,AWB,0.28,0.72
3,30,326.2816601723054,AHS,AWB,0.28,0.72
4,40,408.3198459838898,AHS,AWB,0.28,0.72
5,50,474.78897655594096,AHS,AWB,0.28,0.72
6,60,540.0378984739253,AHS,AWB,0.28,0.72
7,70,611.8628957900944,AHS,AWB,0.28,0.72
8,80,,AHS,AWB,0.28,0.72
9,90,,AHS,AWB,0.28,0.72
10,95,,AHS,AWB,0.28,0.72
11,99,,AHS,AWB,0.28,0.72
0,5,38.592164227762595,AHS,AWB,0.29,0.71
1,10,62.02596050925035,AHS,AWB,0.29,0.71
2,20,178.56928249655155,AHS,AWB,0.29,0.71
3,30,326.6453613073468,AHS,AWB,0.29,0.71
4,40,408.8173112762095,AHS,AWB,0.29,0.71
5,50,475.15321115195604,AHS,AWB,0.29,0.71
6,60,540.0044276592814,AHS,AWB,0.29,0.71
7,70,611.3252560456795,AHS,AWB,0.29,0.71
8,80,,AHS,AWB,0.29,0.71
9,90,,AHS,AWB,0.29,0.71
10,95,,AHS,AWB,0.29,0.71
11,99,,AHS,AWB,0.29,0.71
0,5,38.6501737120396,AHS,AWB,0.3,0.7
1,10,62.2542064698898,AHS,AWB,0.3,0.7
2,20,178.58900897052825,AHS,AWB,0.3,0.7
3,30,327.0115377905351,AHS,AWB,0.3,0.7
4,40,409.3147908395529,AHS,AWB,0.3,0.7
5,50,475.5138145722182,AHS,AWB,0.3,0.7
6,60,539.9713995945951,AHS,AWB,0.3,0.7
7,70,610.7947456476725,AHS,AWB,0.3,0.7
8,80,,AHS,AWB,0.3,0.7
9,90,,AHS,AWB,0.3,0.7
10,95,,AHS,AWB,0.3,0.7
11,99,,AHS,AWB,0.3,0.7
0,5,38.70814608826595,AHS,AWB,0.31,0.69
1,10,62.48456046788244,AHS,AWB,0.31,0.69
2,20,178.608744907162,AHS,AWB,0.31,0.69
3,30,327.3802334011547,AHS,AWB,0.31,0.69
4,40,409.812262831327,AHS,AWB,0.31,0.69
5,50,475.8708322684287,AHS,AWB,0.31,0.69
6,60,539.9388053448853,AHS,AWB,0.31,0.69
7,70,610.2712391121694,AHS,AWB,0.31,0.69
8,80,,AHS,AWB,0.31,0.69
9,90,,AHS,AWB,0.31,0.69
10,95,,AHS,AWB,0.31,0.69
11,99,,AHS,AWB,0.31,0.69
0,5,38.76608637842011,AHS,AWB,0.32,0.68
1,10,62.7170517010446,AHS,AWB,0.32,0.68
2,20,178.62849054765465,AHS,AWB,0.32,0.68
3,30,327.75149554399866,AHS,AWB,0.32,0.68
4,40,410.3097389834109,AHS,AWB,0.32,0.68
5,50,476.2243093925045,AHS,AWB,0.32,0.68
6,60,539.90663634613,AHS,AWB,0.32,0.68
7,70,609.7545993015599,AHS,AWB,0.32,0.68
8,80,,AHS,AWB,0.32,0.68
9,90,,AHS,AWB,0.32,0.68
10,95,,AHS,AWB,0.32,0.68
11,99,,AHS,AWB,0.32,0.68
0,5,38.824000134249765,AHS,AWB,0.33,0.67
1,10,62.9517062067763,AHS,AWB,0.33,0.67
2,20,178.64824612625355,AHS,AWB,0.33,0.67
